platform	reads_per_run_M	read_length	run_time_d	yield_gb	rate_gb_per_dat	reagent_cost	cost_per_gb	hg_30x_cost	cost_per_machine	install_base	max_yield_per_day	max_gb_per_day	hg_per_year
PACB 8M Sequel II v2.0 chem 1 flowcell	4	45K-185K**	1	30-180	25-650	1300	43.3-7.2	3897-648	350000	424	650	275600	150-2500
PACB 64M chip R&D 1 flowcell 2022	32	NA	NA	750-4500	NA	200	7-Jan	600-100	350000	0	16250	0	59312.5
ONT Plate Flongle 1fcell=1well (R&D)	NA	500-2000000	3	0.5/1	NA	25/50	100-25	NA	NA	0	1	0	3.65
ONT SmidgION 1fcell	NA	500-2000000	NA	NA	NA	NA	NA	NA	NA	0	0	0	0
ONT Flongle 1fcell 126 channels	NA	500-2000000	0.7	1-Feb	1.3	90	90-22.5	8100-2700	NA	0	2	0	7.3
ONT MinION Mk 1B 1fcell 512 channels	NA	500-2000000	3	17/30-50	NA	900-475	68-9.5	4770-885	10000	4500	15	67500	54.75
ONT GridION X5 5fcells	NA	500-2000000	3	85/150-250	NA	900-475	68-9.5	4770-885	70000	100	75	7500	273.75
ONT P2 Solo 1fcell	NA	500-2000000	3	166.6666667	37.5-83	1250	35-5	3500-500	10500	NA	333	NA	1215.45
ONT P2  1fcell	NA	500-2000000	3	333.3333333	37.5-83	1250	9.5-2	3500-500	60000	NA	333	NA	1215.45
ONT PromethION 24fcells 3000 channels	NA	500-2000000	3	4000	450-1000	1600-625	9.5-2	1440-382	225000	0	2333.333333	0	8516.666667
ONT PromethION 48fcells 3000 channels	NA	500-2000000	3	8000	900-2000	1600-625	9.5-2	1440-382	310000	0	4666.666667	0	17033.33333
TMO Ion S5 510 1chip	3-Feb	200-400	0.21	1	4.8	950	950	114000	65000	0	1	0	3.65
TMO Ion S5 520 1chip	5-Mar	200-600	0.23	1	4.3	1000	500	60000	65000	0	1	0	3.65
TMO Ion S5 530 1chip	20	200-600	0.29	4	13.8	1200	150	18000	65000	0	4	0	14.6
TMO Ion Genexus GX5 1chip	48-60	200-400	1.25	9.6-24	NA	3500	104.2-364.6	11196	299000	0	24	0	87.6
TMO Ion S5 540 1chip	80	200	0.42	15	35.7	1400	93.3	11196	65000	0	15	0	54.75
TMO Ion S5 550 1chip	130	200	0.5	25	50	1670	66.8	8016	65000	0	25	0	91.25
MGI DNBSEQ-T10_4RS 8fcells	230000	PE150*	3.5	70000	20000	70000	1	100	NA	6	20000	120000	73000
MGI DNBSEQ-T7 4fcells	20000	PE150*	1	6000	6000	35000	5	450	1000000	20	6000	NA	21900
MGI DNBSEQ-G400C  CoolMPS 2fcells	3600	PE200*	4.541666667	1440	317	NA	5	500	360000	1	130	NA	474.5
MGI DNBSEQ-G400RS  HotMPS 2fcells	3600	PE100*	2.25	720	320	NA	5.8	696	360000	1	130	NA	474.5
DNBSEQ-G50 FCL 1fcell	500	PE150*	1.666666667	150	90	NA	NA	NA	150000	NA	60	NA	219
DNBSEQ-G50 FCS 1fcell	100	PE150*	1.166666667	30	26	21600	720	86400	150000	1	26	26	94.9
DNBSEQ-E5 1fcell	5	100	0.375	0.5	1	NA	NA	NA	NA	1	1	1	3.65
Genapsys 1M Chip	1	150	1.17	0.2	0.2	100	500	60000	9900	1	30	30	109.5
Genapsys 16M Chip	13-Oct	300	1.17	3-3.9	NA	299	299	35880	9900	1	30	30	109.5
Genapsys 50M read (2021)	50	PE150*	1.17	8	NA	599	54	6480	9900	1	30	30	109.5
Genapsys 144M Chip (2021)	144	PE150*	1.17	30	NA	599	27	3240	9900	1	30	30	109.5
Genapsys 144M Chip (2021) long	144	PE250*	2	50	NA	599	11.98	1437.6	9900	1	30	30	109.5
GeneMind Bio GenoLab M (2021)	1500	PE100*	NA	300	NA	NA	6-Sep	600-900	NA	NA	NA	NA	NA
QitanTech QNome-9604	120000	10-40000	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA
Ultima Genomics UG 100	10000	300	0.833333333	NA	NA	NA	1	100	NA	NA	3000	NA	NA
